session_id,timestamp,x_sample,y_sample,true_class
0,0,2.07,1.81,2:2
0,1,1.84,1.90,2:2
0,2,1.98,1.98,2:2
0,3,1.99,1.99,2:2
0,4,2.14,2.08,2:2
0,5,1.99,2.18,2:2
0,6,2.15,1.87,2:2
0,7,1.95,1.72,2:2
0,8,2.05,1.94,2:2
0,9,1.96,1.99,2:2
0,10,1.97,2.00,2:2
0,11,2.25,2.08,2:2
0,12,2.03,2.33,2:2
0,13,2.07,1.99,2:2
0,14,2.06,2.24,2:2
0,15,1.92,2.18,2:2
0,16,2.08,2.20,2:2
0,17,1.72,2.16,2:2
0,18,1.89,2.06,2:2
0,19,1.74,2.14,2:2
0,20,1.87,2.06,2:2
0,21,1.73,2.06,2:2
0,22,1.92,2.16,2:2
0,23,1.75,1.94,2:2
0,24,1.67,2.18,2:2
0,25,1.70,2.01,2:2
0,26,1.70,2.32,2:2
0,27,1.53,2.16,2:2
0,28,1.53,2.00,1:2
0,29,1.48,2.19,2:2
0,30,1.44,2.18,2:2
0,31,1.54,2.17,2:2
0,32,1.81,2.21,2:2
0,33,1.78,2.19,2:2
0,34,1.53,2.09,2:2
0,35,1.74,2.15,2:2
0,36,1.86,2.08,2:2
0,37,1.84,2.06,2:2
0,38,1.73,2.27,2:2
0,39,1.76,2.06,2:2
0,40,1.67,1.77,2:2
0,41,1.88,1.83,2:2
0,42,1.82,1.92,2:2
0,43,1.98,1.87,2:2
0,44,1.89,1.96,2:2
0,45,1.69,2.03,2:2
0,46,1.84,2.10,2:2
0,47,1.68,2.01,2:2
0,48,1.92,1.96,2:2
0,49,1.71,1.90,2:2
0,50,1.85,1.93,2:2
0,51,1.80,1.69,2:2
0,52,1.71,1.90,2:2
0,53,1.91,2.05,2:2
0,54,1.58,1.89,2:2
0,55,1.74,2.01,2:2
0,56,1.56,2.10,2:2
0,57,1.65,2.07,2:2
0,58,1.39,1.99,1:2
0,59,1.44,1.88,2:2
0,60,1.58,1.74,1:2
0,61,1.32,1.86,1:2
0,62,1.44,1.82,1:2
0,63,1.57,1.67,2:2
0,64,1.55,1.74,1:2
0,65,1.45,1.87,1:2
0,66,1.39,1.83,1:2
0,67,1.17,1.91,1:2
0,68,1.26,1.73,1:2
0,69,1.38,2.00,1:2
0,70,1.33,1.97,1:2
0,71,1.41,1.87,1:2
